gbifid,datasetkey,occurrence,kingdom,phylum,class,order,family,genus,species,infraspeci,taxonrank,scientific,countrycod,locality,publishing,decimallat,decimallon,coordinate,coordina_1,elevation,elevationa,depth,depthaccur,eventdate,day,month,year,taxonkey,specieskey,basisofrec,institutio,collection,catalognum,recordnumb,identified,license,rightshold,recordedby,typestatus,establishm,lastinterp,mediatype,issue,field_45
1668324082,962f59bc-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,Hoeilaart,75642970-f855-11dd-8235-b8a03c50a862,50.899999999999999,4.420000000000000,,,,,,,1978-04-19T01:00Z,19,4,1978,8225376,8225376,HUMAN_OBSERVATION,MNHNL,Recorder database,LUXNATFUND317831t,,,CC0_1_0,,Pierre Rosman,,,2018-02-02T22:47Z,,COUNTRY_DERIVED_FROM_COORDINATES,GEODETIC_DATUM_ASSUMED_WGS84
1668324072,962f59bc-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,Hoeilaart,75642970-f855-11dd-8235-b8a03c50a862,50.899999999999999,4.420000000000000,,,,,,,1978-06-25T01:00Z,25,6,1978,8225376,8225376,HUMAN_OBSERVATION,MNHNL,Recorder database,LUXNATFUND317829t,,,CC0_1_0,,Pierre Rosman,,,2018-02-02T22:47Z,,COUNTRY_DERIVED_FROM_COORDINATES,GEODETIC_DATUM_ASSUMED_WGS84
1499329861,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312402,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.098669999999998,4.892370000000000,3769.000000000000000,,,,,,1966-08-09T01:00Z,9,8,1966,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329857,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312884,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.383299999999998,3.323320000000000,3769.000000000000000,,,,,,1977-08-26T01:00Z,26,8,1977,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329856,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312384,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1964-07-26T01:00Z,26,7,1964,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329853,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312622,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.101939999999999,4.678240000000000,3769.000000000000000,,,,,,1970-09-15T01:00Z,15,9,1970,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329850,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312378,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1964-07-24T01:00Z,24,7,1964,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329849,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312415,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.101939999999999,4.678240000000000,3769.000000000000000,,,,,,1966-08-10T01:00Z,10,8,1966,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329848,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312391,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1966-05-28T01:00Z,28,5,1966,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329844,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312557,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1968-08-03T01:00Z,3,8,1968,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329842,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312574,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.101939999999999,4.678240000000000,3769.000000000000000,,,,,,1970-08-05T01:00Z,5,8,1970,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329837,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312553,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.148840000000000,4.536960000000000,3769.000000000000000,,,,,,1968-08-02T01:00Z,2,8,1968,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329834,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312913,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1980-08-09T02:00Z,9,8,1980,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329829,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312685,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1971-05-17T01:00Z,17,5,1971,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329828,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312920,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.101939999999999,4.678240000000000,3769.000000000000000,,,,,,1983-08-08T02:00Z,8,8,1983,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329824,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312926,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.101939999999999,4.678240000000000,3769.000000000000000,,,,,,1984-08-19T02:00Z,19,8,1984,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329821,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312731,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1974-07-08T01:00Z,8,7,1974,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329819,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312750,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1976-06-06T01:00Z,6,6,1976,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329818,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312753,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1976-08-19T01:00Z,19,8,1976,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329812,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312741,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.284599999999998,4.469790000000000,3769.000000000000000,,,,,,1976-05-10T01:00Z,10,5,1976,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329805,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312613,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.234610000000004,4.826320000000000,3769.000000000000000,,,,,,1970-08-13T01:00Z,13,8,1970,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329803,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312559,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1968-08-11T01:00Z,11,8,1968,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329726,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312690,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1971-07-30T01:00Z,30,7,1971,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329719,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312573,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.195580000000000,4.395390000000000,3769.000000000000000,,,,,,1970-06-05T01:00Z,5,6,1970,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329714,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312728,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1973-09-02T01:00Z,2,9,1973,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329711,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312380,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1964-07-25T01:00Z,25,7,1964,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
1499329709,1f968e89-ca96-4065-91a5-4858e736b5aa,Natuurpunt:Waarnemingen:113312725,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758",BE,,4d3ceea8-5699-439d-a899-decac9cbbdac,51.146880000000003,4.679870000000000,3769.000000000000000,,,,,,1973-06-09T01:00Z,9,6,1973,8225376,8225376,HUMAN_OBSERVATION,Natuurpunt,,,,,CC0_1_0,Natuurpunt Studie,,,NATIVE,2018-02-03T13:08Z,,,
