species;decimallat;decimallon
Papilio machaon;50.90000;4.420000000000000
Papilio machaon;50.90000;4.420000000000000
Papilio machaon;51.09867;4.892370000000000
Papilio machaon;51.38330;3.323320000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.10194;4.678240000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.10194;4.678240000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.10194;4.678240000000000
Papilio machaon;51.14884;4.536960000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.10194;4.678240000000000
Papilio machaon;51.10194;4.678240000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.28460;4.469790000000000
Papilio machaon;51.23461;4.826320000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.19558;4.395390000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.10194;4.678240000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.10194;4.678240000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.10194;4.678240000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;50.96268;4.958050000000000
Papilio machaon;51.19558;4.395390000000000
Papilio machaon;51.14688;4.679870000000000
Papilio machaon;50.78927;4.525140000000000
Papilio machaon;50.83966;4.029680000000000
Papilio machaon;50.93218;3.675950000000000
